Usuario_Id,Edad,Genero
23452,26,M
11306,23,F
2775,36,M
10707,22,M
1441,41,M
4706,24,F
3347,67,M
23471,28,M
12251,23,F
7031,30,M
23337,20,M
4163,29,F
23111,30,M
2370,33,M
6116,24,M
23447,30,M
6322,32,F
3264,52,M
23273,24,F
15276,33,F
23516,31,M
11036,25,M
16412,45,M
11330,31,M
4174,37,M
7466,35,M
23524,43,M
413,59,M
20645,32,M
23474,27,F
15730,27,M
10767,45,M
23543,27,M
13442,22,F
13445,43,M
14355,20,M
6311,27,M
22473,29,F
22553,30,F
17416,44,F
15601,25,F
22143,29,M
23466,28,M
10351,51,F
3762,21,F
11300,20,M
23455,39,M
2244,20,F
23441,24,F
23557,27,M
515,49,M
23573,23,M
23604,31,M
22757,32,M
23565,24,M
12752,51,M
23554,19,F
7342,34,M
14317,25,M
12551,28,M
1417,27,F
14231,49,M
6614,49,M
7012,51,F
4656,35,M
1056,25,M
15375,27,F
23570,42,F
21571,34,F
23307,33,M
10310,40,M
23505,32,M
23637,28,M
14416,44,M
13175,52,M
23576,30,M
23612,35,M
23615,32,F
13365,29,F
23642,31,M
23513,47,M
23246,31,M
23656,31,F
12235,42,M
23664,23,F
23667,27,M
443,28,M
3052,34,M
14170,34,F
4722,53,F
223,52,M
7760,35,M
16657,42,F
15031,32,M
1653,41,M
5206,22,M
3245,42,M
14743,38,M
14017,34,F
22242,43,F
2024,33,F
22201,35,M
12334,23,F
317,28,M
12700,33,M
12516,28,F
11033,47,M
23403,42,M
23620,37,M
23037,49,F
14507,54,F
15752,41,M
23460,41,M
7411,40,M
1257,28,M
1015,31,M
15061,31,F
776,26,M
3047,34,F
22501,40,F
23320,34,M
4441,22,M
23631,19,M
21040,28,M
23527,40,M
23551,37,M
22317,22,F
14470,55,M
23562,24,F
24051,28,M
23372,39,M
11660,32,M
24040,29,F
15546,19,M
3170,25,M
20166,32,M
24070,24,F
2351,24,M
23202,74,M
2475,30,M
2461,31,F
6223,28,F
22611,34,F
24002,40,M
23626,24,M
23422,26,M
24035,29,F
24126,34,M
22606,42,F
22561,42,M
24062,42,M
24027,52,M
7232,53,M
14427,25,F
11374,50,M
5627,25,M
5153,40,F
23224,33,F
23227,34,M
24161,24,F
24145,73,M
22603,34,M
11476,24,F
22465,32,M
24054,27,M
14440,26,M
4270,47,M
1733,39,M
5057,39,M
23703,29,F
1304,39,M
12667,19,F
2354,30,M
24046,39,M
24073,29,M
13536,19,M
6545,21,M
10571,47,M
24153,26,M
14534,29,F
13310,23,M
13126,33,M
24233,54,F
24225,20,F
3465,37,M
2657,24,M
2442,35,M
24142,24,M
23711,29,F
23714,46,M
